PUNT_GLOBAL,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,COLE_AREA_UBICACION,COLE_BILINGUE,FAMI_EDUCACIONMADRE
184.0,Estrato 1,Si,No,URBANO,N,Secundaria (Bachillerato) incompleta
199.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
175.0,Estrato 2,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
212.0,Estrato 1,Si,No,URBANO,N,Primaria incompleta
322.0,Estrato 4,Si,Si,RURAL,N,Educación profesional completa
251.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
331.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
210.0,Estrato 1,Si,Si,RURAL,N,Primaria completa
239.0,Estrato 3,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
246.0,Estrato 1,Si,No,URBANO,N,Primaria incompleta
251.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
155.0,Estrato 3,No,Si,URBANO,N,Ninguno
297.0,Estrato 3,No,No,RURAL,N,Primaria incompleta
279.0,Estrato 2,Si,No,URBANO,N,Secundaria (Bachillerato) completa
243.0,Estrato 1,No,No,RURAL,N,Primaria incompleta
259.0,Estrato 1,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
221.0,Estrato 2,No,Si,URBANO,N,Secundaria (Bachillerato) completa
237.0,Estrato 2,Si,No,URBANO,N,Primaria completa
216.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
248.0,Estrato 3,Si,No,RURAL,N,Secundaria (Bachillerato) completa
323.0,Estrato 3,Si,Si,URBANO,N,Primaria incompleta
197.0,Estrato 2,Si,No,RURAL,N,Educación profesional completa
175.0,Estrato 5,Si,Si,URBANO,N,Primaria completa
289.0,Estrato 2,Si,Si,RURAL,N,Secundaria (Bachillerato) completa
301.0,Estrato 2,Si,Si,URBANO,N,Secundaria (Bachillerato) completa
218.0,Estrato 2,Si,Si,URBANO,N,Primaria completa
231.0,Estrato 2,Si,No,RURAL,N,Secundaria (Bachillerato) completa
232.0,Estrato 3,No,No,URBANO,N,Secundaria (Bachillerato) incompleta
228.0,Estrato 1,No,No,URBANO,N,Secundaria (Bachillerato) completa
361.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
308.0,Estrato 3,Si,Si,URBANO,N,Educación profesional completa
216.0,Estrato 2,Si,No,URBANO,N,Secundaria (Bachillerato) completa
